Point ID,arc_length,Co,nut,p,phi,phi_0,pMean,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_0_0,U_0_1,U_0_2,U_0_Magnitude,U_1,U_2,U_Magnitude,UMean_0,UMean_1,UMean_2,UMean_Magnitude,vtkValidPointMask,yPlus
610,12.81,0.00301434,7.57631e-06,-0.00949353,nan,nan,-0.006531,2,2.31,0.05,3.05591,0.517461,0.517458,-0.0127158,0,0.517614,-0.0127046,0,0.517617,0.441024,-0.00633935,0,0.441069,1,0
611,12.831,0.00300336,7.51274e-06,-0.00905671,nan,nan,-0.00638021,2,2.331,0.05,3.07182,0.515815,0.515812,-0.0126352,0,0.515967,-0.0126242,0,0.51597,0.440792,-0.00603444,0,0.440834,1,0
612,12.852,0.00299238,7.44917e-06,-0.00861988,nan,nan,-0.00622943,2,2.352,0.05,3.08778,0.514169,0.514166,-0.0125546,0,0.514319,-0.0125438,0,0.514322,0.440561,-0.00572953,0,0.440598,1,0
613,12.873,0.00298139,7.38561e-06,-0.00818306,nan,nan,-0.00607864,2,2.373,0.05,3.10381,0.512523,0.51252,-0.0124739,0,0.512672,-0.0124635,0,0.512674,0.440329,-0.00542461,0,0.440362,1,0
614,12.894,0.00297041,7.32204e-06,-0.00774624,nan,nan,-0.00592785,2,2.394,0.05,3.11989,0.510877,0.510874,-0.0123933,0,0.511024,-0.0123831,0,0.511027,0.440097,-0.0051197,0,0.440127,1,0
615,12.915,0.00295948,7.25954e-06,-0.00731294,nan,nan,-0.00577777,2,2.415,0.05,3.13604,0.509238,0.509235,-0.0123079,0,0.509384,-0.012298,0,0.509387,0.439866,-0.00481544,0,0.439892,1,0
616,12.936,0.00294994,7.22326e-06,-0.00696616,nan,nan,-0.00564506,2,2.436,0.05,3.15224,0.507796,0.507793,-0.0121048,0,0.507937,-0.0120951,0,0.50794,0.43963,-0.00452722,0,0.439654,1,0
617,12.957,0.0029404,7.18698e-06,-0.00661938,nan,nan,-0.00551235,2,2.457,0.05,3.16849,0.506354,0.506351,-0.0119018,0,0.50649,-0.0118922,0,0.506493,0.439395,-0.00423901,0,0.439416,1,0
618,12.978,0.00293085,7.1507e-06,-0.00627261,nan,nan,-0.00537965,2,2.478,0.05,3.18481,0.504911,0.504908,-0.0116987,0,0.505044,-0.0116894,0,0.505047,0.43916,-0.00395079,0,0.439178,1,0
619,12.999,0.00292131,7.11442e-06,-0.00592583,nan,nan,-0.00524694,2,2.499,0.05,3.20117,0.503469,0.503466,-0.0114956,0,0.503597,-0.0114865,0,0.5036,0.438924,-0.00366257,0,0.43894,1,0
620,13.02,0.00291176,7.07814e-06,-0.00557905,nan,nan,-0.00511423,2,2.52,0.05,3.21759,0.502027,0.502023,-0.0112926,0,0.50215,-0.0112837,0,0.502153,0.438689,-0.00337435,0,0.438702,1,0
621,13.041,0.00290224,7.04195e-06,-0.0052332,nan,nan,-0.00498179,2,2.541,0.05,3.23407,0.500587,0.500584,-0.0110915,0,0.500707,-0.0110828,0,0.50071,0.438454,-0.00308754,0,0.438465,1,0
622,13.062,0.00289366,7.00947e-06,-0.00492646,nan,nan,-0.0048604,2,2.562,0.05,3.25059,0.499275,0.499271,-0.0109767,0,0.499392,-0.0109682,0,0.499395,0.438218,-0.00286023,0,0.438228,1,0
623,13.083,0.00288507,6.97698e-06,-0.00461972,nan,nan,-0.00473902,2,2.583,0.05,3.26717,0.497962,0.497958,-0.0108619,0,0.498077,-0.0108536,0,0.49808,0.437983,-0.00263292,0,0.437991,1,0
624,13.104,0.00287648,6.94449e-06,-0.00431298,nan,nan,-0.00461763,2,2.604,0.05,3.2838,0.496649,0.496646,-0.0107471,0,0.496762,-0.010739,0,0.496765,0.437747,-0.00240561,0,0.437754,1,0
625,13.125,0.0028679,6.912e-06,-0.00400624,nan,nan,-0.00449625,2,2.625,0.05,3.30047,0.495336,0.495333,-0.0106323,0,0.495447,-0.0106243,0,0.49545,0.437512,-0.0021783,0,0.437517,1,0
626,13.146,0.00285931,6.87952e-06,-0.0036995,nan,nan,-0.00437486,2,2.646,0.05,3.3172,0.494024,0.49402,-0.0105175,0,0.494132,-0.0105097,0,0.494135,0.437276,-0.00195099,0,0.437281,1,0
627,13.167,0.00285072,6.84703e-06,-0.00339275,nan,nan,-0.00425348,2,2.667,0.05,3.33398,0.492711,0.492707,-0.0104027,0,0.492817,-0.0103951,0,0.49282,0.437041,-0.00172368,0,0.437044,1,0
628,13.188,0.00284259,6.81107e-06,-0.0031121,nan,nan,-0.0041386,2,2.688,0.05,3.3508,0.491463,0.49146,-0.0102627,0,0.491567,-0.0102552,0,0.49157,0.436806,-0.00150632,0,0.436809,1,0
629,13.209,0.00283513,6.77003e-06,-0.00286968,nan,nan,-0.00403327,2,2.709,0.05,3.36767,0.49031,0.490307,-0.0100855,0,0.490411,-0.0100782,0,0.490414,0.436573,-0.00130356,0,0.436575,1,0
630,13.23,0.00282766,6.72899e-06,-0.00262726,nan,nan,-0.00392794,2,2.73,0.05,3.38458,0.489158,0.489154,-0.00990834,0,0.489255,-0.00990113,0,0.489258,0.43634,-0.0011008,0,0.436342,1,0
631,13.251,0.0028202,6.68795e-06,-0.00238485,nan,nan,-0.0038226,2,2.751,0.05,3.40154,0.488005,0.488002,-0.00973119,0,0.488099,-0.0097241,0,0.488102,0.436107,-0.000898043,0,0.436108,1,0
632,13.272,0.00281274,6.6469e-06,-0.00214243,nan,nan,-0.00371727,2,2.772,0.05,3.41855,0.486852,0.486849,-0.00955403,0,0.486943,-0.00954707,0,0.486946,0.435874,-0.000695282,0,0.435874,1,0
633,13.293,0.00280527,6.60586e-06,-0.00190001,nan,nan,-0.00361194,2,2.793,0.05,3.4356,0.485699,0.485696,-0.00937687,0,0.485787,-0.00937005,0,0.48579,0.435641,-0.000492523,0,0.435641,1,0
634,13.314,0.00279781,6.56482e-06,-0.0016576,nan,nan,-0.00350661,2,2.814,0.05,3.45269,0.484547,0.484544,-0.00919971,0,0.484631,-0.00919302,0,0.484634,0.435408,-0.000289764,0,0.435408,1,0
635,13.335,0.00279047,6.52357e-06,-0.00141949,nan,nan,-0.00340264,2,2.835,0.05,3.46983,0.483413,0.48341,-0.00903056,0,0.483494,-0.009024,0,0.483497,0.435175,-9.31481e-05,0,0.435175,1,0
636,13.356,0.00278403,6.48086e-06,-0.0012113,nan,nan,-0.00330809,2,2.856,0.05,3.48701,0.482407,0.482405,-0.0089169,0,0.482487,-0.00891046,0,0.48249,0.434945,6.08863e-05,0,0.434945,1,0
637,13.377,0.00277759,6.43815e-06,-0.00100311,nan,nan,-0.00321355,2,2.877,0.05,3.50423,0.481402,0.481399,-0.00880324,0,0.48148,-0.00879691,0,0.481483,0.434715,0.000214922,0,0.434715,1,0
638,13.398,0.00277115,6.39545e-06,-0.000794914,nan,nan,-0.00311901,2,2.898,0.05,3.52149,0.480397,0.480394,-0.00868958,0,0.480473,-0.00868337,0,0.480475,0.434485,0.000368957,0,0.434485,1,0
639,13.419,0.00276471,6.35274e-06,-0.000586722,nan,nan,-0.00302447,2,2.919,0.05,3.53879,0.479392,0.479389,-0.00857592,0,0.479466,-0.00856982,0,0.479468,0.434255,0.000522991,0,0.434256,1,0
640,13.44,0.00275827,6.31003e-06,-0.000378526,nan,nan,-0.00292993,2,2.94,0.05,3.55614,0.478387,0.478384,-0.00846226,0,0.478459,-0.00845628,0,0.478461,0.434025,0.000677027,0,0.434026,1,0
641,13.461,0.00275183,6.26732e-06,-0.000170334,nan,nan,-0.00283539,2,2.961,0.05,3.57352,0.477381,0.477379,-0.0083486,0,0.477452,-0.00834274,0,0.477454,0.433795,0.000831062,0,0.433796,1,0
642,13.482,0.00274538,6.22462e-06,3.78613e-05,nan,nan,-0.00274085,2,2.982,0.05,3.59094,0.476376,0.476374,-0.00823494,0,0.476445,-0.00822919,0,0.476447,0.433566,0.000985098,0,0.433567,1,0
643,13.503,0.00273906,6.18212e-06,0.000240845,nan,nan,-0.00264787,2,3.003,0.05,3.60839,0.475388,0.475386,-0.00811851,0,0.475455,-0.00811287,0,0.475457,0.433337,0.00113616,0,0.433339,1,0
644,13.524,0.00273359,6.14117e-06,0.000405207,nan,nan,-0.00256646,2,3.024,0.05,3.62589,0.474527,0.474524,-0.00798148,0,0.474591,-0.00797593,0,0.474594,0.433119,0.00126518,0,0.433121,1,0
645,13.545,0.00272813,6.10022e-06,0.00056957,nan,nan,-0.00248505,2,3.045,0.05,3.64342,0.473665,0.473663,-0.00784445,0,0.473728,-0.00783899,0,0.47373,0.432902,0.0013942,0,0.432904,1,0
646,13.566,0.00272267,6.05926e-06,0.000733931,nan,nan,-0.00240365,2,3.066,0.05,3.66099,0.472804,0.472801,-0.00770742,0,0.472864,-0.00770205,0,0.472867,0.432684,0.00152323,0,0.432686,1,0
647,13.587,0.0027172,6.01831e-06,0.000898292,nan,nan,-0.00232224,2,3.087,0.05,3.6786,0.471942,0.47194,-0.00757039,0,0.472001,-0.00756511,0,0.472003,0.432466,0.00165225,0,0.432469,1,0
648,13.608,0.00271174,5.97736e-06,0.00106266,nan,nan,-0.00224084,2,3.108,0.05,3.69624,0.471081,0.471078,-0.00743336,0,0.471137,-0.00742817,0,0.47114,0.432248,0.00178127,0,0.432252,1,0
649,13.629,0.00270627,5.93641e-06,0.00122702,nan,nan,-0.00215943,2,3.129,0.05,3.71391,0.47022,0.470217,-0.00729633,0,0.470274,-0.00729123,0,0.470276,0.43203,0.00191029,0,0.432035,1,0
650,13.65,0.00270081,5.89546e-06,0.00139138,nan,nan,-0.00207802,2,3.15,0.05,3.73162,0.469358,0.469356,-0.0071593,0,0.46941,-0.00715429,0,0.469413,0.431813,0.00203932,0,0.431817,1,0
