Point ID,arc_length,Co,CpMean,nut,p,phi,phi_0,pMean,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_0_0,U_0_1,U_0_2,U_0_Magnitude,U_1,U_2,U_Magnitude,UMean_0,UMean_1,UMean_2,UMean_Magnitude,vtkValidPointMask,yPlus
32,0.672,0.00231179,0.0490589,1.00462e-13,0.000811328,nan,nan,0.00392471,1,-9.828,0.005,9.87875,0.404492,0.404492,-0.000575707,0,0.404493,-0.000575654,0,0.404493,0.406586,-0.000792043,0,0.406586,1,0
33,0.693,0.00231181,0.049053,1.0004e-13,0.000810068,nan,nan,0.00392424,1,-9.807,0.005,9.85785,0.404494,0.404494,-0.000593698,0,0.404495,-0.000593643,0,0.404494,0.40659,-0.000816795,0,0.406591,1,0
34,0.714,0.00231182,0.049047,9.96189e-14,0.000808809,nan,nan,0.00392376,1,-9.786,0.005,9.83696,0.404496,0.404496,-0.000611689,0,0.404496,-0.000611632,0,0.404496,0.406594,-0.000841546,0,0.406595,1,0
35,0.735,0.00231184,0.0490411,9.91976e-14,0.000807549,nan,nan,0.00392328,1,-9.765,0.005,9.81607,0.404498,0.404498,-0.000629679,0,0.404498,-0.000629621,0,0.404498,0.406599,-0.000866297,0,0.4066,1,0
36,0.756,0.00231186,0.0490351,9.87762e-14,0.00080629,nan,nan,0.00392281,1,-9.744,0.005,9.79518,0.4045,0.4045,-0.00064767,0,0.4045,-0.00064761,0,0.4045,0.406603,-0.000891048,0,0.406604,1,0
37,0.777,0.00231187,0.0490291,9.83549e-14,0.00080503,nan,nan,0.00392233,1,-9.723,0.005,9.77429,0.404502,0.404502,-0.000665662,0,0.404502,-0.0006656,0,0.404502,0.406608,-0.000915801,0,0.406609,1,0
38,0.798,0.00231189,0.0490232,9.79336e-14,0.000803771,nan,nan,0.00392185,1,-9.702,0.005,9.7534,0.404503,0.404503,-0.000683652,0,0.404504,-0.000683589,0,0.404504,0.406612,-0.000940552,0,0.406613,1,0
39,0.819,0.00231191,0.0490172,9.75123e-14,0.000802511,nan,nan,0.00392138,1,-9.681,0.005,9.73251,0.404505,0.404505,-0.000701643,0,0.404506,-0.000701579,0,0.404506,0.406616,-0.000965303,0,0.406618,1,0
40,0.84,0.00231192,0.0490113,9.70909e-14,0.000801252,nan,nan,0.0039209,1,-9.66,0.005,9.71162,0.404507,0.404507,-0.000719634,0,0.404508,-0.000719568,0,0.404508,0.406621,-0.000990055,0,0.406622,1,0
41,0.861,0.00231195,0.0489981,9.64079e-14,0.000798583,nan,nan,0.00391985,1,-9.639,0.005,9.69073,0.404511,0.404511,-0.000737269,0,0.404512,-0.000737201,0,0.404512,0.40663,-0.00101517,0,0.406631,1,0
